"Section","Group","Field","Type","Value","Time Line","P&P","Default Value","Department","Roles","Notices","Notice Process","QC / Acknoledgment","Escalation and Notes","Task","Task responsible role","Task due date","Task action","Mandatory Field","Parent Field","Fill only for Role","Task Rule"
"Wholesale","EMD","EMD status","Option","1","3","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","Assigned","","","[{"value":"Sent to Escrow","task":{"role":"Administrator","name":"Wire has been sent to escrow","message":"Wire has been sent to escrow","duedate":"0","actiontype":"FYI"}},{"value":"Approved to Send by AM","task":{"role":"Disposition Manager","name":"EMD Approved","message":"Approved to Send EMD by AM","duedate":"0","actiontype":"FYI"}},{"value":"Cancel transaction if wholesale buyer does not send EMD","task":{"role":"Disposition Manager","name":"Cancel transaction if wholesale buyer does not send EMD","message":"Cancel transaction if wholesale buyer does not send EMD - Talk to ON to see if we have a possibility of a price reduction -  Update %=field(Wholesale,General,Wholesale Status to Cancel)%","duedate":"0","actiontype":"FYI"}},{"value":"Sent to Escrow","task":{"role":"Offer Negotiator","name":"Wire has been sent to escrow","message":"Wire has been sent to escrow","duedate":"0","actiontype":"FYI"}},{"value":"Cancel transaction if wholesale buyer does not send EMD","task":{"role":"Administrator","name":"Cancel transaction if wholesale buyer does not send EMD","message":"Cancel transaction if wholesale buyer does not send EMD","duedate":"0","actiontype":"FYI"}},{"value":"Cancel transaction if wholesale buyer does not send EMD","task":{"role":"Closing Coordinator Acquisition","name":"Cancel transaction if wholesale buyer does not send EMD","message":"Confirm ON has spoken to agent and send cancellation instructions to escrow/Template Cancellation instructions to escrow","duedate":"0","actiontype":"Task"}},{"value":"Refunded","task":{"role":"Closing Coordinator Acquisition","name":"EMD has been refunded","message":"Refund has been received","duedate":"0","actiontype":"FYI"}},{"value":"Refunded","task":{"role":"Acquisition Manager","name":"EMD has been refunded","message":"Refund has been received","duedate":"0","actiontype":"FYI"}},{"value":"Scheduled","task":{"role":"Acquisition Manager","name":"review and approve EMD to go out","message":"Follow the EMD hard approval process - %=link(AM - EMD -  Hard Approval,https://docs.google.com/document/d/1q_nW98Amuskgvaz_DMoQ7TivR4q9A-ZTBXr5rf4iU2w/edit)%","duedate":"0","actiontype":"Task","dependfield":"13308"}},{"value":"EMD Sent by Buyer","task":{"role":"Super Administrator","name":"Deposit Sent by Buyer to Escrow","message":"Deposit Sent by Buyer to Escrow - Check  %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - Check cashflow to make sure EMD information is up to date","duedate":"0","actiontype":"Need Review"}},{"value":"Sent by Buyer","task":{"role":"Offer Negotiator","name":"Deposit Sent by Buyer to Escrow","message":"Deposit Sent by Buyer to Escrow - Check  %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%","duedate":"0","actiontype":"FYI"}},{"value":"Cancel transaction if wholesale buyer does not send EMD","task":{"role":"Offer Negotiator","name":"Cancel transaction if wholesale buyer does not send EMD","message":"Cancel transaction if wholesale buyer does not send EMD - Call Agent using Cancelation script - %=link(Scripts for wholesaling,https://docs.google.com/document/d/1sKyBRlesIaUt7R_-0IX0hZXladWqLXUXOEaURNcLDyo/edit#bookmark=id.piakzqvmdkur)% and send Template to agent - Cancellation instructions to agent","duedate":"0","actiontype":"Call"}},{"value":"Approved to Send by AM","task":{"role":"Project Accountant","name":"Set up and Send EMD","message":"Set up EMD to go out - Check %=field(Wholesale,EMD,Wire Instructions)%, check notes for wire confirmation info -  Help Video - %=link(Help Video,https://drive.google.com/file/d/1cPg1kK-Jb_G6gzvRckICiVsOtpblp6gX/view)%","duedate":"0","actiontype":"Task"}},{"value":"Sent to Escrow","task":{"role":"Project Accountant","name":"Wire has been sent to escrow","message":"Wire has been sent to escrow - %=field(Acquisition Information,Documents,Property File Link)%   - look for Folder: Acquisition>Escrow  and update Quick books","duedate":"0","actiontype":"Task"}},{"value":"EMD Sent by Buyer","task":{"role":"Offer Negotiator","name":"Request for EMD refund to ISC to escrow if ISC send initial EMD","message":"Check - %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - and Request for EMD refund to ISC to escrow if ISC send initial Escrow  - %=link(Email Templates for Wholesale P&Ps,https://docs.google.com/document/d/1IRx2GUd7amEKpMfh_Wy1np8LcQMPJT1_AZxknIA-ImI/edit#bookmark=id.w7vk8p6b7r12)%Update - %=field(Wholesale,EMD,EMD status)%","duedate":"2","actiontype":"Need Review"}},{"value":"EMD Sent by Buyer","task":{"role":"Project Accountant","name":"Request for EMD refund to ISC to escrow if ISC send initial EMD","message":"Check - %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - and Request for EMD refund to ISC to escrow if ISC send initial Escrow  - %=link(Email Templates for Wholesale P&Ps,https://docs.google.com/document/d/1IRx2GUd7amEKpMfh_Wy1np8LcQMPJT1_AZxknIA-ImI/edit#bookmark=id.w7vk8p6b7r12)%Update - %=field(Wholesale,EMD,EMD status)%","duedate":"2","actiontype":"Need Review"}},{"value":"EMD Sent by Buyer","task":{"role":"Closing Coordinator Acquisition","name":"Request for EMD refund to ISC to escrow if ISC send initial EMD","message":"Check - %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - and Request for EMD refund to ISC to escrow if ISC send initial Escrow  - %=link(Email Templates for Wholesale P&Ps,https://docs.google.com/document/d/1IRx2GUd7amEKpMfh_Wy1np8LcQMPJT1_AZxknIA-ImI/edit#bookmark=id.w7vk8p6b7r12)%Update - %=field(Wholesale,EMD,EMD status)%","duedate":"2","actiontype":"Need Review"}},{"value":"EMD Sent by Buyer","task":{"role":"Administrator","name":"Request for EMD refund to ISC to escrow if ISC send initial EMD","message":"Check - %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - and Request for EMD refund to ISC to escrow if ISC send initial Escrow  - %=link(Email Templates for Wholesale P&Ps,https://docs.google.com/document/d/1IRx2GUd7amEKpMfh_Wy1np8LcQMPJT1_AZxknIA-ImI/edit#bookmark=id.w7vk8p6b7r12)%Update - %=field(Wholesale,EMD,EMD status)%","duedate":"2","actiontype":"Need Review"}},{"value":"EMD Sent by Buyer","task":{"role":"Super Administrator","name":"Request for EMD refund to ISC to escrow if ISC send initial EMD","message":"Check - %=field(Wholesale,Investor / Buyer Information ,Buyers EMD Status)%  - and Request for EMD refund to ISC to escrow if ISC send initial Escrow  - %=link(Email Templates for Wholesale P&Ps,https://docs.google.com/document/d/1IRx2GUd7amEKpMfh_Wy1np8LcQMPJT1_AZxknIA-ImI/edit#bookmark=id.w7vk8p6b7r12)%Update - %=field(Wholesale,EMD,EMD status)%","duedate":"2","actiontype":"Need Review"}},{"value":"Cancel transaction if wholesale buyer does not send EMD","task":{"role":"Closing Coordinator Resale","name":"Cancel transaction if wholesale buyer does not send EMD","message":"Verify EMD has been returned - Update %=field(Wholesale,EMD,EMD Status to Refunded)%","duedate":"2","actiontype":"Task","dependfield":"13308"}},{"value":"Approved to Send by AM","task":{"role":"Closing Coordinator Acquisition","name":"EMD Approved","message":"Approved to Send EMD by AM - %=link(Mngt - Sent Wire process,https://docs.google.com/document/d/1wspF0bi-ZL7Qd15iIv5EDu7cUATPcL9TulEEHJH5mDI/edit)%","duedate":"0","actiontype":"Task"}},{"value":"Scheduled","task":{"role":"Offer Negotiator","name":"ON update info ","message":"ON update info - please QC file - %=link(New Wholesale Property Approved by AM - TC Check List,https://docs.google.com/document/d/17Yje71-mQhS3uFEdiPejRsqoFMw65_I7l8wJ-Hhb8FA/edit)%","duedate":"0","actiontype":"Task"}},{"value":"Sent by Buyer","task":{"role":"Closing Coordinator Acquisition","name":"Give Escrow notification 3rd party deposit","message":"Give Escrow notification 3rd party deposit  - %=link(Transaction and Progress Updates,https://docs.google.com/document/d/1VoG6IgW6UxQr0cRdpvWsr_tPnouzOjkGp6y4Uc7C_os/edit#bookmark=id.ujeb17ma44nh)%","duedate":"0","actiontype":"E-mail"}},{"value":"Approved to Send by AM","task":{"role":"Offer Negotiator","name":"EMD Approved","message":"Approved to Send EMD by AM - %=link(Mngt - Sent Wire process,https://docs.google.com/document/d/1wspF0bi-ZL7Qd15iIv5EDu7cUATPcL9TulEEHJH5mDI/edit)%","duedate":"0","actiontype":"Task"}},{"value":"Approved to Send by AM","task":{"role":"Super Administrator","name":"EMD Approved","message":"Approved to Send EMD by AM","duedate":"0","actiontype":"FYI"}}]"
"Wholesale","EMD","EMD Status Date","Date","1","0.1","","","Acquisition Team ","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","EMD","Wire Instructions","Link to webpage","3","4","","","Acquisition Team","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","Acquisition purchase price","Duplicate from Acquisition Information > Final Acquisition Contract Terms > Contract Purchase Price","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","Address","Duplicate from System > General > Address","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","ARV","Number","3","1.1","","=idx_IA("future_value")","Acquisition Team ","Disposition Manager","","","","","","","","","","","",""
"Wholesale","General","Estimated Rehab","Number","3","1.1","","=idx_IA("repair_cost")","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","General","Forecasted Wholesale Fee","Number","3","1.1","","","Acquisition Team","Disposition Manager","","","","","","","","","","","",""
"Wholesale","General","Intent For Property","Duplicate from Acquisition Information > General > Intent For Property","","","","","","Closing Coordinator Acquisition","","","","","","","","","","","",""
"Wholesale","General","Offer Negotiator ","Duplicate from Acquisition Information > General > Offer Negotiator","3","1","","","Acquisition Team","Closing Coordinator Acquisition","","","","","","","","","","","",""
